iter,mean_reward,mean_energy_per_atom,invalid_rate,kl,clipfrac,adv_abs_mean,match_rate,mean_rmsd,corr_rmsd,relative_energy_per_atom,gen_energy_per_atom,ref_energy_per_atom,invalid_energy_rate,sec
0,5.38063513219906,-5.359369098627385,0.0,0.009602932949092065,0.05394965303392382,0.7146762609481812,0.5390625,0.20740532977918044,0.3422731855840895,1.0900736040062329,-4.631535270551011,-5.721608874557244,0.015625,36.41
1,5.361395637725136,-5.335019712165619,0.0,0.005612245416996302,0.02042100712453248,0.6770762801170349,,,,,,,,33.72
2,5.297693720095391,-5.272680001761875,0.0,0.007431128349271603,0.0051822917690151375,0.7021791934967041,,,,,,,,33.83
3,5.44784365817141,-5.438743231500987,0.0,0.011379240448004566,0.0030078125730506142,0.7329962253570557,,,,,,,,34.28
4,5.505696166452116,-5.4978936844904505,0.0,0.01754929470596835,0.003650173699425068,0.7127450108528137,,,,,,,,34.23
5,5.554138699408699,-5.529064880307054,0.0,0.025883324238238855,0.002756076393998228,0.6695354580879211,,,,,,,,34.27
6,5.592178861877512,-5.603167243971317,0.001953125,0.03579060689546168,0.0023958334265626034,0.7069269418716431,,,,,,,,34.28
7,5.628985072242102,-5.619651317430128,0.0,0.04561573410639539,0.0015842014027293771,0.7238858342170715,,,,,,,,34.45
8,5.690478282289549,-5.685404290655805,0.0,0.0497375098336488,0.0009071180602768436,0.7140945196151733,,,,,,,,34.31
9,5.6949270212682634,-5.682414879707531,0.0,0.056401525733526796,0.001072048623173032,0.6906427145004272,,,,,,,,34.57
10,5.673831117482383,-5.68185045722035,0.001953125,0.06444042200222612,0.0014973958517657594,0.7028342485427856,0.609375,0.17146940246010617,0.2998016671241272,0.5302535367724808,-5.191355145491482,-5.7216086822639625,0.0,34.51
11,5.71127140908755,-5.698760777535582,0.0,0.06994652584660799,0.0010937500069849193,0.7204442620277405,,,,,,,,33.21
12,5.717236543248277,-5.74996330754541,0.00390625,0.07651556098368019,0.001401909741689451,0.7238853573799133,,,,,,,,33.2
13,5.756278202560617,-5.753863747240532,0.0,0.08505607781466097,0.0017187500128056853,0.7160444259643555,,,,,,,,33.73
14,5.768211741537677,-5.766368121365528,0.0,0.09620708238333464,0.0013845486583886667,0.7467188835144043,,,,,,,,33.26
15,5.7841676868290595,-5.781845206088786,0.0,0.10365951690357178,0.0014062500215368345,0.7351853847503662,,,,,,,,33.33
16,5.77284518646483,-5.788276647772686,0.001953125,0.1116086195036769,0.0015060764149529859,0.7300094962120056,,,,,,,,33.3
17,5.77299145428534,-5.768288964991059,0.0,0.11865240248385817,0.0023611110844649376,0.7083710432052612,,,,,,,,33.38
18,5.768833512501118,-5.762412312214396,0.0,0.13080046338029205,0.0034548611301579513,0.7306957244873047,,,,,,,,34.68
19,5.787036965692295,-5.7770696193024165,0.0,0.13689749913755805,0.0015494791878154501,0.7087292671203613,,,,,,,,34.99
20,5.8040049328300505,-5.802653186475592,0.0,0.14397020718082787,0.0017795139004010707,0.7474988102912903,0.6484375,0.12998629876490744,0.2600692406053696,0.468812845996756,-5.2527960467204,-5.721608892717156,0.0,34.98
21,5.785460955029578,-5.798935978361083,0.001953125,0.14943568943534047,0.0016796875043655745,0.6859707832336426,,,,,,,,34.71
22,5.807733491818913,-5.806888774015187,0.0,0.15722823780961334,0.001805555571045261,0.7616404891014099,,,,,,,,34.58
23,5.82458765222157,-5.822805348357984,0.0,0.16118393441662193,0.002821180591126904,0.7251306772232056,,,,,,,,34.5
24,5.8234026876072775,-5.82027965508224,0.0,0.16579790790565313,0.0015885416982928291,0.7338777184486389,,,,,,,,34.45
25,5.838086759717463,-5.836917339065778,0.0,0.1758292165864259,0.002265624978172127,0.7377859354019165,,,,,,,,33.44
26,5.824667858546645,-5.8224060206541,0.0,0.18049201955087482,0.002361111125792377,0.7139416933059692,,,,,,,,33.36
27,5.825957544659952,-5.82476132784837,0.0,0.18382386705838144,0.0030815972518757916,0.7570207715034485,,,,,,,,33.49
28,5.817772838722892,-5.815962712089753,0.0,0.1924479299876839,0.0024522569589316844,0.7281491160392761,,,,,,,,34.29
29,5.826784408506986,-5.8417667030410545,0.001953125,0.19524385571479796,0.002065972226264421,0.7051725387573242,,,,,,,,34.39
30,5.841343240170103,-5.838869491405784,0.0,0.2035832092165947,0.002122395853511989,0.7252516746520996,0.6484375,0.1467740078391469,0.2709550207081968,0.32971785807721066,-5.39189111438385,-5.721608972461061,0.0078125,34.47
31,5.843346362362514,-5.8414808058579055,0.0,0.21228004162199796,0.002730034720443655,0.7268418073654175,,,,,,,,35.05
32,5.841951005037947,-5.840307765210136,0.0,0.21369237850420178,0.0024609375416184773,0.7297122478485107,,,,,,,,33.18
33,5.851465613883642,-5.845823318599945,0.0,0.22120907704345882,0.0018055556097533554,0.7196688652038574,,,,,,,,33.61
34,5.8494851648644834,-5.847734233657164,0.0,0.22874210357666017,0.0022482639105874114,0.7188584804534912,,,,,,,,33.38
35,5.842492747237674,-5.837512264462808,0.0,0.22317957423627377,0.0026345487037906425,0.7149202823638916,,,,,,,,35.68
36,5.854805743963418,-5.853511692561387,0.0,0.2322900378331542,0.0022439236045465804,0.7422316670417786,,,,,,,,35.32
37,5.8676476667384145,-5.8641296184932195,0.0,0.23764545038342477,0.005069444538967218,0.7604924440383911,,,,,,,,37.66
38,5.870181623752999,-5.869219132676898,0.0,0.23939006397500634,0.0032031250416184776,0.7308614253997803,,,,,,,,33.25
39,5.8669143304351365,-5.866420248044388,0.0,0.2454442272335291,0.002630208361078985,0.7593415975570679,,,,,,,,33.5
40,5.865031386922174,-5.863856669599634,0.0,0.2554952312633395,0.00424913202150492,0.743542492389679,0.6328125,0.14065041574329235,0.2725990912125522,0.28572808599066146,-5.435880762681046,-5.721608848671708,0.0,33.27
41,5.874459372508927,-5.87235925088947,0.0,0.25176729729399083,0.0020572916950914078,0.6986685991287231,,,,,,,,34.14
42,5.865761994465466,-5.865361862483301,0.0,0.2544809094071388,0.002200520799960941,0.7569459676742554,,,,,,,,34.68
43,5.886869329314493,-5.8855048926281075,0.0,0.2549374849162996,0.002868923603091389,0.7325857281684875,,,,,,,,34.58
44,5.889864161696051,-5.889086635166867,0.0,0.2614486022107303,0.0026432291444507426,0.7270305156707764,,,,,,,,34.56
45,5.863047259474765,-5.861981270945675,0.0,0.27059385674074293,0.0033984374668216332,0.7450999021530151,,,,,,,,35.12
46,5.877611427700267,-5.874775401755635,0.0,0.2700040796585381,0.00388020837912336,0.6988739967346191,,,,,,,,34.5
47,5.87483933896081,-5.873907704562658,0.0,0.27845477871596813,0.0032421874854480846,0.734460711479187,,,,,,,,35.11
48,5.875035679201023,-5.8734372102123285,0.0,0.2844874201528728,0.0030121527519077064,0.7557892203330994,,,,,,,,34.58
49,5.883241011690734,-5.8819348041899495,0.0,0.2949062286317348,0.004010416726232507,0.7416674494743347,,,,,,,,35.08
50,5.875797741825246,-5.874506319881904,0.0,0.29644550528377295,0.0034157986476202494,0.7541173696517944,0.6015625,0.11945129968724565,0.2710761724681087,0.28406691752433133,-5.437541906637053,-5.721608824161384,0.0,34.34
51,5.882573385338546,-5.882180474122011,0.0,0.30203934060409665,0.004466145836340729,0.7660813927650452,,,,,,,,34.47
52,5.88220147899332,-5.878967821682315,0.0,0.3075547282025218,0.004157986104837618,0.7558788657188416,,,,,,,,33.35
53,5.896521765970413,-5.895715535662713,0.0,0.3081279732100666,0.0034071180573664608,0.7506069540977478,,,,,,,,33.34
